iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
94,1.0,0.0,1.0,0.0,0.0005131774091548228,0.0011204921928132318,1.9129566896302395e-05,7.784095960645389e-06
95,1.0,0.0,1.0,0.0,0.0005131776088549858,0.001120492083163912,1.9128541833192084e-05,7.782098319090687e-06
96,1.0,0.0,1.0,0.0,0.0005131786997277535,0.001120491484201619,1.912710904770552e-05,7.779306380844709e-06
97,1.0,0.0,1.0,0.0,0.0005131787408243353,0.001120491460869122,1.9127066521488e-05,7.77933832528786e-06
98,1.0,0.0,1.0,0.0,0.0005131793219470226,0.0011204911411730873,1.9125768787009365e-05,7.778385119441585e-06
99,1.0,0.0,1.0,0.0,0.0005131792619958045,0.0011204911752103037,1.9125476007160853e-05,7.778605178198675e-06
100,1.0,0.0,1.0,0.0,0.0005131795047345195,0.001120491041931705,1.912374565712073e-05,7.775234061541615e-06
101,1.0,0.0,1.0,0.0,0.0005131799448306783,0.0011204907995242296,1.9121659477406117e-05,7.771285013507145e-06
102,1.0,0.0,1.0,0.0,0.0005131799448306783,0.0011204907995242296,1.9121659477406117e-05,7.771285013507145e-06
103,1.0,0.0,1.0,0.0,0.0005131799782034111,0.0011204907805768835,1.9121076461979515e-05,7.771723439172526e-06
104,1.0,0.0,1.0,0.0,0.0005131802527256347,0.0011204906298478972,1.9120720018460832e-05,7.771029182642087e-06
105,1.0,0.0,1.0,0.0,0.0005131803901344465,0.0011204905544024266,1.9120541931325045e-05,7.770682323976498e-06
106,1.0,0.0,1.0,0.0,0.0005131805890146792,0.0011204904440583997,1.9120001508052817e-05,7.770608284315128e-06
107,1.0,0.0,1.0,0.0,0.0005131805890146792,0.0011204904440583997,1.9120001508052817e-05,7.770608284315128e-06
108,1.0,0.0,1.0,0.0,0.0005131806503973277,0.001120490409208424,1.9119639315421343e-05,7.770880831686678e-06
109,1.0,0.0,1.0,0.0,0.000513180849809828,0.0011204902997195253,1.911861934020016e-05,7.768894378969576e-06
110,1.0,0.0,1.0,0.0,0.0005131810492204432,0.0011204901902318286,1.9117600544001535e-05,7.766910383857436e-06
111,1.0,0.0,1.0,0.0,0.0005131811868123448,0.0011204901146861961,1.9117422641616088e-05,7.766563954806792e-06
112,1.0,0.0,1.0,0.0,0.0005131814272955954,0.0011204899818796524,1.911636261424645e-05,7.764614334567464e-06
113,1.0,0.0,1.0,0.0,0.0005131825310216814,0.0011204893758761695,1.9114942286363415e-05,7.7618489355009e-06
114,1.0,0.0,1.0,0.0,0.0005131831263218779,0.0011204890482590867,1.9114191904033856e-05,7.760502415712425e-06
115,1.0,0.0,1.0,0.0,0.000513183325669652,0.0011204889388077047,1.9113175321347034e-05,7.758523420860119e-06
116,1.0,0.0,1.0,0.0,0.0005131836033727448,0.0011204887863358144,1.9112821856921635e-05,7.757835364801516e-06
117,1.0,0.0,1.0,0.0,0.0005131838814529559,0.0011204886336571927,1.911246873569728e-05,7.757147996291814e-06
118,1.0,0.0,1.0,0.0,0.0005131844797507269,0.0011204883043974502,1.911172115889039e-05,7.75580711237378e-06
119,1.0,0.0,1.0,0.0,0.0005131850385004187,0.0011204879976208348,1.911101727633155e-05,7.754437105451597e-06
120,1.0,0.0,1.0,0.0,0.000513185318468544,0.0011204878439072846,1.9110665866013676e-05,7.753753164407345e-06
121,1.0,0.0,1.0,0.0,0.0005131858399477733,0.0011204875552971796,1.9107911996677693e-05,7.750347183178034e-06
122,1.0,0.0,1.0,0.0,0.0005131860604200882,0.001120487435370372,1.910726907229801e-05,7.749884011065852e-06
123,1.0,0.0,1.0,0.0,0.0005131860604200882,0.001120487435370372,1.910726907229801e-05,7.749884011065852e-06
124,1.0,0.0,1.0,0.0,0.0005131863411348713,0.0011204872812479818,1.910691836632519e-05,7.749201600720596e-06
125,1.0,0.0,1.0,0.0,0.0005131864675684759,0.001120487214727241,1.9106273479633277e-05,7.748741842177424e-06
126,1.0,0.0,1.0,0.0,0.0005131865671775632,0.001120487160038531,1.9105766730969887e-05,7.747755867024306e-06
127,1.0,0.0,1.0,0.0,0.0005131868083332203,0.0011204870276362072,1.9104057134191098e-05,7.744429820927755e-06
128,1.0,0.0,1.0,0.0,0.0005131869078357381,0.0011204869730061498,1.9103551523988907e-05,7.743446236587309e-06
129,1.0,0.0,1.0,0.0,0.0005131880972203977,0.0011204863188493959,1.910179240962024e-05,7.740999607019309e-06
130,1.0,0.0,1.0,0.0,0.0005131882386934735,0.0011204862411768911,1.9101618095403445e-05,7.740660555742709e-06
131,1.0,0.0,1.0,0.0,0.0005131882386934735,0.0011204862411768911,1.9101618095403445e-05,7.740660555742709e-06
132,1.0,0.0,1.0,0.0,0.0005131884623715652,0.0011204861168335595,1.910135941468383e-05,7.740385358640547e-06
133,1.0,0.0,1.0,0.0,0.0005131884623715652,0.0011204861168335595,1.910135941468383e-05,7.740385358640547e-06
134,1.0,0.0,1.0,0.0,0.0005131886040342282,0.0011204860390571186,1.9101185269544422e-05,7.740046646180786e-06
135,1.0,0.0,1.0,0.0,0.0005131888451587424,0.0011204859066737596,1.909948110041748e-05,7.736732287380272e-06
136,1.0,0.0,1.0,0.0,0.0005131890439331482,0.0011204857975418473,1.9098472249792215e-05,7.73477043642205e-06
137,1.0,0.0,1.0,0.0,0.0005131891433027286,0.0011204857429856286,1.9097968298119146e-05,7.733790492053606e-06
138,1.0,0.0,1.0,0.0,0.0005131891433027286,0.0011204857429856286,1.9097968298119146e-05,7.733790492053606e-06
139,1.0,0.0,1.0,0.0,0.0005131891433027286,0.0011204857429856286,1.9097968298119146e-05,7.733790492053606e-06
140,1.0,0.0,1.0,0.0,0.0005131891433027286,0.0011204857429856286,1.9097968298119146e-05,7.733790492053606e-06
141,1.0,0.0,1.0,0.0,0.0005131892046842598,0.0011204857081356361,1.909760727842727e-05,7.734062819296634e-06
