iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.9931894454494417,0.005518814163505275,0.993212461673696,0.005923190889431696,0.6284020478548328,0.0034380642838118584,0.6278777311596772,0.0038394470466857496
1,0.9960974209962099,0.004067274275551848,0.9963357861795,0.0017204579124232872,0.5729581921118619,0.0030181546174414256,0.5718143408232205,0.001929875096397351
2,0.9960780544073824,0.005370775309413215,0.9985312007343831,0.0015941888631042704,0.511322267285707,0.0017486667700360545,0.5099134335868052,0.0019349160800296663
3,0.9960780544073824,0.005370775309413215,0.9980457746703942,0.002526349235511554,0.457517426445537,0.005380835058389134,0.45561734397501485,0.005499752601250996
4,0.9951212512555603,0.006874928471742039,0.9980457746703942,0.002526349235511554,0.4133764854230747,0.005184591960888857,0.41116055494001236,0.005654994366559376
5,0.9960780544073824,0.005370775309413215,0.9982881917108862,0.002041992587805722,0.3682616713832282,0.008392726437891391,0.36622594183514173,0.008871764220266806
6,0.9960780544073824,0.005370775309413215,0.9982881917108862,0.002041992587805722,0.3292698696256297,0.009840277663554203,0.3269642807328803,0.009965827705342056
7,0.9960780544073824,0.005370775309413215,0.9982881917108862,0.002041992587805722,0.3011991086119715,0.0097831683647216,0.29850675984902375,0.009653432773840814
8,0.9960780544073824,0.005370775309413215,0.9987772024527775,0.0014954173833754624,0.2757803674011366,0.007249903210543062,0.272735536597843,0.006811282681577784
9,0.9960780544073824,0.005370775309413215,0.9990214063617564,0.0010229909255569845,0.2539776395878193,0.008247382026603717,0.25095992800141403,0.007629509559900157
10,0.9990243902439024,0.002181529734146138,0.9995104039167686,0.0006704070471299794,0.23007423294033208,0.006734369409622635,0.22726194354824947,0.00602059013430701
11,0.9970441922241005,0.00441986896879227,0.9995104039167686,0.0006704070471299794,0.2127795554253093,0.005507219846627192,0.20961013201789153,0.004695672639690151
12,1.0,0.0,0.9995104039167686,0.0006704070471299794,0.1941654050956893,0.0051109510008986335,0.1911788665943115,0.00447475243471105
13,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.17842217337090135,0.004191609080628503,0.17554145232499413,0.0037486350382610026
14,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.16417160679838855,0.003861796242894532,0.16132708876638588,0.003631878584516648
15,0.9990147783251231,0.0022030226379308247,0.9997552019583843,0.0005473850618114811,0.14998873035493804,0.004457968283616308,0.14736494589872057,0.004015139616342585
16,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.13770556800304234,0.003430621137148602,0.1352003216896926,0.0032517303803379716
17,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.12536340948301986,0.0042560270517608976,0.12305531004785927,0.0032303911542248434
18,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.11559899721048268,0.004044544021494217,0.1134536978108843,0.0030261013797968036
19,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.10535219411348189,0.004023036874814842,0.10330281918753406,0.003014153535076604
20,1.0,0.0,0.9995104039167686,0.0006704070471299794,0.09801446412576313,0.0036567396556181782,0.09590279343446957,0.0029170099482362607
21,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.09174347212817953,0.0031275389405560823,0.08960198589612654,0.002389265851618875
22,0.9990147783251231,0.0022030226379308247,0.9997552019583843,0.0005473850618114811,0.08572853986070957,0.0033226745702338153,0.08358668995460575,0.0026139526664508065
23,0.9990147783251231,0.0022030226379308247,1.0,0.0,0.07894933247572156,0.003360741875991285,0.07681917240771985,0.002577690578554057
24,0.9990147783251231,0.0022030226379308247,1.0,0.0,0.07302651404922308,0.0032044411663097196,0.0709730271382855,0.00239070704489781
25,1.0,0.0,1.0,0.0,0.06878623711372188,0.003103324443212468,0.06677125363400649,0.0022508918388826358
26,1.0,0.0,1.0,0.0,0.06526195447143665,0.0032665311480743163,0.06329730861581004,0.0023701476553500125
27,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.06162628746383754,0.0032205838697673167,0.05972384136965529,0.0023577825072400634
28,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.05727861251790865,0.003066156797926343,0.05551778974478917,0.002488232716107721
29,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.05373849364853735,0.0029241869086150743,0.052049459444548654,0.0023483441186951575
30,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.050961482089141176,0.003219449689384384,0.04923823831876794,0.00249291467365937
31,1.0,0.0,1.0,0.0,0.04705360785275471,0.0033949371546603976,0.045372479581237704,0.002613306121750106
32,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.044289088402516566,0.0031912775602513867,0.04270675031677253,0.002728151968930782
33,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.04207307533117905,0.0029528226543462576,0.040505777617619344,0.0024878350112349343
34,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.04009571074136845,0.0030427271259060983,0.03846799897499757,0.0024093916933753887
35,1.0,0.0,1.0,0.0,0.03852444147904556,0.003346435387644856,0.036827632278866956,0.0024701733923070046
36,1.0,0.0,1.0,0.0,0.03664268235620916,0.0031394722432444046,0.03492149002206873,0.002204031871900615
37,1.0,0.0,1.0,0.0,0.0343456811626565,0.0030053473458856736,0.03267226477847131,0.002053950373416688
38,1.0,0.0,1.0,0.0,0.032371891106394816,0.0030037384090904748,0.030742581451625957,0.0020792403123317676
39,1.0,0.0,1.0,0.0,0.030832161889620836,0.002914633599051028,0.029240240223823256,0.0020547783773528262
40,1.0,0.0,1.0,0.0,0.02944850099201054,0.00281410726319751,0.027865901957123063,0.0018453417596337842
41,1.0,0.0,1.0,0.0,0.027751202656397567,0.002763526894066082,0.026157864417425764,0.0017787962428231139
42,1.0,0.0,1.0,0.0,0.02626297936096591,0.00250172801266579,0.024708608893894247,0.0016291885070123255
43,1.0,0.0,1.0,0.0,0.02495099879610929,0.002457051862497613,0.023418158287951345,0.0016005992089442667
44,1.0,0.0,1.0,0.0,0.023779574497043147,0.002527159802346166,0.022268234494247093,0.0017282603113167286
45,1.0,0.0,1.0,0.0,0.02241529541355896,0.0024603573289056256,0.02094800361668456,0.0016028960046321852
46,1.0,0.0,1.0,0.0,0.021485890822760218,0.0024116238559427467,0.02000784275443059,0.0014836439026179745
47,1.0,0.0,1.0,0.0,0.020403609104525378,0.0024824487921977843,0.01895132709018797,0.001555338917050662
48,1.0,0.0,1.0,0.0,0.01956426132976083,0.002453971195018369,0.018118736658745256,0.0015229870904351498
49,1.0,0.0,1.0,0.0,0.018746601325732613,0.0024500658143749364,0.017367835836550927,0.0015774583546459132
50,1.0,0.0,1.0,0.0,0.01793036058347761,0.002373698433847722,0.016572146201064793,0.0015534373059673777
51,1.0,0.0,1.0,0.0,0.017166161530126504,0.002403210096333762,0.01580515626442296,0.0015075434813469346
52,1.0,0.0,1.0,0.0,0.016420325408995424,0.0023490316199312245,0.015095054871970118,0.001452729788506067
53,1.0,0.0,1.0,0.0,0.015648021773056256,0.002443650423695773,0.014345162617763339,0.0015136108393383107
54,1.0,0.0,1.0,0.0,0.014942376766926205,0.0024131324145347426,0.013652874194964127,0.0014954752740933613
55,1.0,0.0,1.0,0.0,0.014299591603401943,0.00241069390771638,0.013027391611161787,0.0015492704757249162
56,1.0,0.0,1.0,0.0,0.013724773802764944,0.0023246565219285243,0.01250192843676918,0.0015306932178453564
57,1.0,0.0,1.0,0.0,0.013218653020485102,0.0022973826259930848,0.012012633582543201,0.001526358063802497
58,1.0,0.0,1.0,0.0,0.012680142324026936,0.0022716056053858997,0.011500335001490076,0.0014979261445518595
59,1.0,0.0,1.0,0.0,0.012177769223189703,0.0022330514405704935,0.01102709565711315,0.0015287272559196651
60,1.0,0.0,1.0,0.0,0.011798069991616218,0.0022460539611893825,0.010665526890892361,0.0015402882342089922
61,1.0,0.0,1.0,0.0,0.011343410654318181,0.002146457865223428,0.010243790014998694,0.0014506040809454588
62,1.0,0.0,1.0,0.0,0.01094151410647493,0.002094817247720706,0.009848739227765548,0.00138378040517717
63,1.0,0.0,1.0,0.0,0.010567947774216225,0.0021237849586138043,0.009496827501312952,0.0014002261014116764
64,1.0,0.0,1.0,0.0,0.010305631368951008,0.002162119680467866,0.00923897758498817,0.0014780880734496518
65,1.0,0.0,1.0,0.0,0.009964995285360325,0.0020736653436661447,0.008914820703593314,0.001417464317816514
66,1.0,0.0,1.0,0.0,0.009610809196648008,0.002077701760130701,0.00857826222040394,0.0014068698760344037
67,1.0,0.0,1.0,0.0,0.00925694857728352,0.0020776261687994423,0.008251751630136524,0.001387872412985642
68,1.0,0.0,1.0,0.0,0.008895665859443761,0.002098327007039727,0.007904983936098207,0.001419641114352625
69,1.0,0.0,1.0,0.0,0.008665235650427653,0.0020825748523845156,0.007678466045724838,0.0014024249800429157
70,1.0,0.0,1.0,0.0,0.00848106825254601,0.0020896927825765723,0.007495068815824657,0.0013985824197034842
71,1.0,0.0,1.0,0.0,0.008198367388025693,0.002077612097234918,0.007230245379059861,0.0013897354352897942
72,1.0,0.0,1.0,0.0,0.00797338332748073,0.0020637589780570145,0.007006474348810259,0.001351969354735766
73,1.0,0.0,1.0,0.0,0.007742464920368154,0.002020272273901451,0.006784872840772481,0.0013091691089884788
74,1.0,0.0,1.0,0.0,0.007524792027587242,0.0020052835155121933,0.006573453576344014,0.001283114828487581
75,1.0,0.0,1.0,0.0,0.007336522288159677,0.0020134227404576995,0.006393040729733619,0.0012557188734546424
76,1.0,0.0,1.0,0.0,0.0071560136847777876,0.0020050682330588613,0.006212459392692394,0.0012360934067246249
77,1.0,0.0,1.0,0.0,0.006989112762478574,0.002030900058313638,0.0060364027111749485,0.0012352980600593866
78,1.0,0.0,1.0,0.0,0.006833208173759033,0.002010627652345551,0.005888325458681603,0.0012165724088752763
79,1.0,0.0,1.0,0.0,0.0066634886512379945,0.0019711786653922327,0.005727951799278484,0.0011889892267916765
80,1.0,0.0,1.0,0.0,0.006516052630163716,0.0019225065043556979,0.005587547011474482,0.0011574293936899348
81,1.0,0.0,1.0,0.0,0.006376538635183679,0.001884391119248346,0.0054538134457409754,0.0011224737613865306
82,1.0,0.0,1.0,0.0,0.006247835719202382,0.001871696287938908,0.005331862602760818,0.001109577059174517
83,1.0,0.0,1.0,0.0,0.006117436292452044,0.0018460623940264641,0.005208641189980124,0.0010852888152095542
