iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
48,1.0,0.0,1.0,0.0,0.003287303521658306,0.0014068503750950514,0.0020441520323588743,0.0006936129837799577
49,1.0,0.0,1.0,0.0,0.0032631853369548074,0.0013898162696115296,0.002020081554847438,0.0006770882356846769
50,1.0,0.0,1.0,0.0,0.003240015816727222,0.0013767151896712775,0.0019955785739765265,0.0006630196721366986
51,1.0,0.0,1.0,0.0,0.0032182126158737416,0.0013632084508818688,0.001972230812543072,0.0006491744453629446
52,1.0,0.0,1.0,0.0,0.0031962928377287634,0.0013495519290977575,0.0019494404566462327,0.0006350915616293743
53,1.0,0.0,1.0,0.0,0.0031674654208477373,0.0013394811908920006,0.0019222178131716946,0.0006256395072735202
54,1.0,0.0,1.0,0.0,0.003142986428679295,0.001332463066747089,0.0018975652889864519,0.000617343843527899
55,1.0,0.0,1.0,0.0,0.00311974153058693,0.0013263811312745773,0.0018733470372849295,0.0006085372637479845
56,1.0,0.0,1.0,0.0,0.003100024216648736,0.0013163231448094016,0.0018522810504985067,0.0005970189777396216
57,1.0,0.0,1.0,0.0,0.00307553551506362,0.0013090058906325042,0.0018284866213545115,0.0005885917446418511
58,1.0,0.0,1.0,0.0,0.0030516406066737538,0.0012998922936402417,0.0018048129591196887,0.0005794053701646942
59,1.0,0.0,1.0,0.0,0.0030313101806158866,0.0012921640820076107,0.001784299243815379,0.0005711944029070121
60,1.0,0.0,1.0,0.0,0.0030145745374780463,0.0012821958613018264,0.001765969924539546,0.0005604691082174426
61,1.0,0.0,1.0,0.0,0.002996075000941516,0.0012676870701978107,0.0017483858485997524,0.000547354527553523
62,1.0,0.0,1.0,0.0,0.00297702569564927,0.0012566008226461967,0.0017293717851563195,0.0005367484093269588
63,1.0,0.0,1.0,0.0,0.0029588062655388535,0.0012460534727006046,0.0017117458590884295,0.0005272467941246806
64,1.0,0.0,1.0,0.0,0.002940872619111558,0.0012352796152248727,0.0016941242560470522,0.0005176599566364354
65,1.0,0.0,1.0,0.0,0.0029231639286961715,0.0012248529803395066,0.0016771850507440137,0.0005084406091903957
66,1.0,0.0,1.0,0.0,0.002902910604299309,0.001210827587584981,0.0016580228381239744,0.0004963718407974786
67,1.0,0.0,1.0,0.0,0.0028866988266179256,0.0012013975567304817,0.001641870471950789,0.0004874367632114677
68,1.0,0.0,1.0,0.0,0.002870455929592219,0.0011917950241203963,0.0016259935520054614,0.00047904258035258245
69,1.0,0.0,1.0,0.0,0.0028545106420182166,0.0011790830781450202,0.001609875212236675,0.00046738074970690435
70,1.0,0.0,1.0,0.0,0.0028391139062553345,0.0011703164512668095,0.0015947140491038697,0.0004592297279549842
71,1.0,0.0,1.0,0.0,0.0028229719431764368,0.0011565527104019657,0.001579299526927726,0.00044687717647172746
72,1.0,0.0,1.0,0.0,0.0028057528108896583,0.0011449877531607344,0.0015631935891001613,0.00043739476892896403
73,1.0,0.0,1.0,0.0,0.0027922917601266102,0.0011361875378491134,0.0015501417563187829,0.0004293960081824081
74,1.0,0.0,1.0,0.0,0.0027766095817868745,0.001124201162275512,0.00153548514642781,0.0004192002451764228
75,1.0,0.0,1.0,0.0,0.0027601755160465155,0.0011133407008080045,0.0015203923745294979,0.00041054228786355565
76,1.0,0.0,1.0,0.0,0.002747541714611404,0.0011055366365382568,0.0015079735719453979,0.00040407277297708236
77,1.0,0.0,1.0,0.0,0.002732300482212304,0.0010953983048305855,0.001493618594213115,0.0003959728916897805
78,1.0,0.0,1.0,0.0,0.002717765025440052,0.001085321589669102,0.0014800742624275448,0.00038775935162222943
79,1.0,0.0,1.0,0.0,0.00270493447631137,0.0010759455304617904,0.0014674641915328318,0.0003799003974372435
80,1.0,0.0,1.0,0.0,0.002691755267379649,0.0010670244628469073,0.0014543570047152925,0.0003726986661469204
81,1.0,0.0,1.0,0.0,0.0026802609808448284,0.0010570812500218052,0.001443210439463365,0.0003639409984577543
82,1.0,0.0,1.0,0.0,0.002668272686020761,0.0010484870691578653,0.0014314494813474808,0.00035689548162942686
83,1.0,0.0,1.0,0.0,0.0026564745793715146,0.0010378359030023196,0.001420654396903092,0.000347581701927961
84,1.0,0.0,1.0,0.0,0.002643885896940464,0.0010290214073549395,0.0014088770953838586,0.00034063257774124157
85,1.0,0.0,1.0,0.0,0.002633021486722154,0.001019958132303447,0.0013982380031257549,0.0003328757398012854
86,1.0,0.0,1.0,0.0,0.0026207959013989125,0.0010118830020001306,0.0013867663087993708,0.0003267727453864174
87,1.0,0.0,1.0,0.0,0.0026041479581254993,0.001001857988013635,0.0013728279080285756,0.0003200714411860385
88,1.0,0.0,1.0,0.0,0.002594429443420796,0.0009928840762823783,0.001363395285898248,0.000312244897676764
89,1.0,0.0,1.0,0.0,0.0025827859466895794,0.0009858047571603271,0.0013524322005638422,0.00030727621574779814
90,1.0,0.0,1.0,0.0,0.0025713961666900755,0.0009789099924495664,0.001341709577040154,0.0003025051840928994
91,1.0,0.0,1.0,0.0,0.00256274177767886,0.0009710634029890706,0.0013332638074895179,0.00029575026350648633
92,1.0,0.0,1.0,0.0,0.002553406088163943,0.0009639834526000737,0.001324186292937567,0.0002901686349323832
93,1.0,0.0,1.0,0.0,0.002545383164082506,0.0009560422973245703,0.0013164155164558182,0.0002831772716080911
94,1.0,0.0,1.0,0.0,0.00253511413283247,0.0009493620882233567,0.0013068722972770913,0.00027843473449549826
95,1.0,0.0,1.0,0.0,0.002525290236627645,0.0009424935175570874,0.0012977525274902055,0.00027345587612192645
